comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
16631538,"Ola, Lake","Ola, Lake",shapefile,288075,Lake Ola,Lake,Florida,1,62.8,
10988999,,"Woodruff, Lake",gnis_inside,306612,Lake Woodruff,Lake,Florida,6,1301.2,Tick Island Mud Lake; Gator Lake; Blue Peter Lake
10990355,Loughman Lake,Loughman Lake,shapefile,294062,Loughman Lake,Lake,Florida,1,95.0,
120052387,"Beresford, Lake","Beresford, Lake",shapefile,278501,Lake Beresford,Lake,Florida,1,137.0,
10991931,"Norris, Lake","Norris, Lake",shapefile,306117,Lake Norris,Lake,Florida,1,430.7,
16630838,"Yale, Lake","Yale, Lake",shapefile,306620,Lake Yale,Lake,Florida,1,344.2,
10992413,Konomac Lake,Konomac Lake,shapefile,285176,Konomac Lake,Lake,Florida,1,687.3,
16631062,"Eustis, Lake","Eustis, Lake",shapefile,282276,Lake Eustis,Lake,Florida,1,452.6,
16636326,,"Minnehaha, Lake",gnis_inside,286961,Lake Minnehaha,Lake,Florida,2,685.6,Lake Susan
10998129,,"Poinsett, Lake",gnis_inside,289112,Lake Poinsett,Lake,Florida,2,898.2,Lake Florence
10998171,,Taylor Creek Reservoir,gnis_near,2437414,Taylor Creek Reservoir,Lake,Florida,1,5.9,
10998263,Lake Winder,Lake Winder,shapefile,293400,Lake Winder,Lake,Florida,1,161.9,
11010401,Blue Cypress Lake,Blue Cypress Lake,shapefile,307443,Blue Cypress Lake,Lake,Florida,1,227.8,
120053158,"Dorr, Lake","Dorr, Lake",shapefile,305590,Lake Dorr,Lake,Florida,1,170.7,
16632942,Johns Lake,Johns Lake,shapefile,284856,Johns Lake,Lake,Florida,1,784.4,
16628898,Mud Lake,Mud Lake,shapefile,306084,Mud Lake,Lake,Florida,1,41.1,
16629010,,"Bryant, Lake",gnis_inside,305389,Lake Bryant,Lake,Florida,2,932.5,North Lake
16667851,"Dias, Lake","Dias, Lake",shapefile,281551,Lake Dias,Lake,Florida,1,99.0,
16666733,"Disston, Lake","Disston, Lake",shapefile,281592,Lake Disston,Lake,Florida,1,211.5,
16631376,,"Dora, Lake",gnis_inside,281681,Lake Dora,Lake,Florida,3,2442.1,Lake Beauclair; Lake Carlton
16632086,"Apopka, Lake","Apopka, Lake",shapefile,,,,,0,,
10996929,,"Harney, Lake",gnis_inside,283749,Lake Harney,Lake,Florida,1,698.4,
120052399,"Louisa, Lake","Louisa, Lake",shapefile,286136,Lake Louisa,Lake,Florida,1,52.9,
21480832,"Lotela, Lake","Lotela, Lake",shapefile,286124,Lake Lotela,Lake,Florida,1,89.8,
21473308,"Sheen, Lake","Sheen, Lake",shapefile,290953,Lake Sheen,Lake,Florida,1,102.5,
21477442,"Tohopekaliga, Lake","Tohopekaliga, Lake",shapefile,292327,Lake Tohopekaliga,Lake,Florida,1,2236.5,
21477494,,"Conlin, Lake",gnis_inside,280713,Lake Conlin,Lake,Florida,1,444.1,
21489802,"June in Winter, Lake","June in Winter, Lake",shapefile,284976,Lake June in Winter,Lake,Florida,1,533.4,
21489832,"Huntley, Lake","Huntley, Lake",shapefile,284412,Lake Huntley,Lake,Florida,1,185.8,
21489874,"Placid, Lake","Placid, Lake",shapefile,289014,Lake Placid,Lake,Florida,1,487.6,
21484390,Crooked Lake,Crooked Lake,shapefile,293976,Crooked Lake,Lake,Florida,2,2057.2,Little Crooked Lake
21480452,"Livingston, Lake","Livingston, Lake",shapefile,285891,Lake Livingston,Lake,Florida,1,123.0,
84918,,,none,,,,,0,,
91346,"Ingraham, Lake","Ingraham, Lake",shapefile,284548,Lake Ingraham,Lake,Florida,1,57.1,
89704,,,none,,,,,0,,
21475652,Cypress Lake,Cypress Lake,shapefile,281219,Cypress Lake,Lake,Florida,1,359.1,
166757639,Buck Lake,Buck Lake,shapefile,287760,Lake Nona,Lake,Florida,3,631.5,Red Lake; Buck Lake
166757631,,"Butler, Lake",gnis_inside,279743,Lake Butler,Lake,Florida,1,136.9,
166757656,,"Okeechobee, Lake",gnis_inside,307550,Lake Okeechobee,Lake,Florida,1,4064.2,
166757640,Lake Hatchineha,Lake Hatchineha,shapefile,294032,Lake Hatchineha,Lake,Florida,1,394.9,
166757642,,"Jackson, Lake",gnis_inside,284682,Lake Jackson,Lake,Florida,1,292.2,
166757632,Lake Down,Lake Down,shapefile,281739,Lake Down,Lake,Florida,1,104.8,
55604,"Mangonia, Lake","Mangonia, Lake",shapefile,286376,Lake Mangonia,Lake,Florida,1,77.0,
